period,start_date,end_date,registry,package,downloads
2023-01,2023-01-01,2023-01-30,pypi,pandas,0
2023-01,2023-01-31,2023-03-01,pypi,pandas,0
2023-03,2023-03-02,2023-03-31,pypi,pandas,0
2023-04,2023-04-01,2023-04-30,pypi,pandas,0
2023-05,2023-05-01,2023-05-30,pypi,pandas,0
2023-05,2023-05-31,2023-06-29,pypi,pandas,0
2023-06,2023-06-30,2023-07-29,pypi,pandas,0
2023-07,2023-07-30,2023-08-28,pypi,pandas,0
2023-08,2023-08-29,2023-09-27,pypi,pandas,0
2023-09,2023-09-28,2023-10-27,pypi,pandas,0
2023-10,2023-10-28,2023-11-26,pypi,pandas,0
2023-11,2023-11-27,2023-12-26,pypi,pandas,0
2023-12,2023-12-27,2024-01-25,pypi,pandas,0
2024-01,2024-01-26,2024-02-24,pypi,pandas,0
2024-02,2024-02-25,2024-03-25,pypi,pandas,0
2024-03,2024-03-26,2024-04-24,pypi,pandas,0
2024-04,2024-04-25,2024-05-24,pypi,pandas,0
2024-05,2024-05-25,2024-06-23,pypi,pandas,0
2024-06,2024-06-24,2024-07-23,pypi,pandas,0
2024-07,2024-07-24,2024-08-22,pypi,pandas,0
2024-08,2024-08-23,2024-09-21,pypi,pandas,0
2024-09,2024-09-22,2024-10-21,pypi,pandas,0
2024-10,2024-10-22,2024-11-20,pypi,pandas,0
2024-11,2024-11-21,2024-12-20,pypi,pandas,0
2024-12,2024-12-21,2025-01-19,pypi,pandas,0
2025-01,2025-01-20,2025-02-18,pypi,pandas,0
2025-02,2025-02-19,2025-03-20,pypi,pandas,0
2025-03,2025-03-21,2025-04-19,pypi,pandas,0
2025-04,2025-04-20,2025-05-19,pypi,pandas,366777596
2025-05,2025-05-20,2025-06-18,pypi,pandas,676246047
2025-06,2025-06-19,2025-07-18,pypi,pandas,717965704
2025-07,2025-07-19,2025-08-17,pypi,pandas,754729557
2025-08,2025-08-18,2025-09-16,pypi,pandas,851966787
2025-09,2025-09-17,2025-10-16,pypi,pandas,904937804
2025-10,2025-10-17,2025-11-15,pypi,pandas,479278380
2025-11,2025-11-16,2025-12-15,pypi,pandas,0
2025-12,2025-12-16,2025-12-31,pypi,pandas,0
